mu,round,local_epochs,client_i,client_j,cosine_similarity
1.0,18,5,2,3,-0.5083855390548706
1.0,18,5,2,4,0.14469772577285767
1.0,18,5,3,4,-0.22799842059612274
1.0,19,5,0,1,0.029439395293593407
1.0,19,5,0,2,-0.3058711886405945
1.0,19,5,0,3,-0.20212922990322113
1.0,19,5,0,4,0.11003012955188751
1.0,19,5,1,2,0.545738697052002
1.0,19,5,1,3,-0.5168502926826477
1.0,19,5,1,4,0.012828171253204346
1.0,19,5,2,3,-0.5207059383392334
1.0,19,5,2,4,0.2558535039424896
1.0,19,5,3,4,-0.25824517011642456
1.0,20,5,0,1,0.16934463381767273
1.0,20,5,0,2,-0.31760457158088684
1.0,20,5,0,3,-0.24730738997459412
1.0,20,5,0,4,0.02432083711028099
1.0,20,5,1,2,0.47009482979774475
1.0,20,5,1,3,-0.43164992332458496
1.0,20,5,1,4,-0.17299699783325195
1.0,20,5,2,3,-0.43766090273857117
1.0,20,5,2,4,0.055536676198244095
1.0,20,5,3,4,-0.2758331298828125
